ffmpeg version 4.2.1-tessus  https://evermeet.cx/ffmpeg/  Copyright (c) 2000-2019 the FFmpeg developers
  built with Apple LLVM version 10.0.1 (clang-1001.0.46.4)
  configuration: --cc=/usr/bin/clang --prefix=/opt/ffmpeg --extra-version=tessus --enable-avisynth --enable-fontconfig --enable-gpl --enable-libaom --enable-libass --enable-libbluray --enable-libdav1d --enable-libfreetype --enable-libgsm --enable-libmodplug --enable-libmp3lame --enable-libmysofa --enable-libopencore-amrnb --enable-libopencore-amrwb --enable-libopenh264 --enable-libopenjpeg --enable-libopus --enable-librubberband --enable-libshine --enable-libsnappy --enable-libsoxr --enable-libspeex --enable-libtheora --enable-libtwolame --enable-libvidstab --enable-libvmaf --enable-libvo-amrwbenc --enable-libvorbis --enable-libvpx --enable-libwavpack --enable-libwebp --enable-libx264 --enable-libx265 --enable-libxavs --enable-libxvid --enable-libzimg --enable-libzmq --enable-libzvbi --enable-version3 --pkg-config-flags=--static --disable-ffplay
  libavutil      56. 31.100 / 56. 31.100
  libavcodec     58. 54.100 / 58. 54.100
  libavformat    58. 29.100 / 58. 29.100
  libavdevice    58.  8.100 / 58.  8.100
  libavfilter     7. 57.100 /  7. 57.100
  libswscale      5.  5.100 /  5.  5.100
  libswresample   3.  5.100 /  3.  5.100
  libpostproc    55.  5.100 / 55.  5.100
[AVFoundation input device @ 0x7f84d5f00540] Configuration of video device failed, falling back to default.
[avfoundation @ 0x7f84d7000000] Stream #0: not enough frames to estimate rate; consider increasing probesize
Input #0, avfoundation, from '1':
  Duration: N/A, start: 249679.360500, bitrate: N/A
    Stream #0:0: Video: rawvideo (UYVY / 0x59565955), uyvy422, 1920x1080, 1000k tbr, 1000k tbn, 1000k tbc
Stream mapping:
  Stream #0:0 -> #0:0 (rawvideo (native) -> h264 (libx264))
Press [q] to stop, [?] for help
[libx264 @ 0x7f84d69dd200] using cpu capabilities: MMX2 SSE2Fast SSSE3 SSE4.2 AVX
[libx264 @ 0x7f84d69dd200] profile Progressive High, level 4.0, 4:2:0, 8-bit
[libx264 @ 0x7f84d69dd200] 264 - core 157 r2969 d4099dd - H.264/MPEG-4 AVC codec - Copyleft 2003-2019 - http://www.videolan.org/x264.html - options: cabac=1 ref=3 deblock=1:0:0 analyse=0x3:0x113 me=hex subme=7 psy=1 psy_rd=1.00:0.00 mixed_ref=1 me_range=16 chroma_me=1 trellis=1 8x8dct=1 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=-2 threads=6 lookahead_threads=1 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=crf mbtree=1 crf=23.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
Output #0, mp4, to './mp4s/Validate_that_the_ticker_of_the_third_song_can_be_closed20200110_1051.mp4':
  Metadata:
    encoder         : Lavf58.29.100
    Stream #0:0: Video: h264 (libx264) (avc1 / 0x31637661), yuv420p, 1920x1080, q=-1--1, 30 fps, 15360 tbn, 30 tbc
    Metadata:
      encoder         : Lavc58.54.100 libx264
    Side data:
      cpb: bitrate max/min/avg: 0/0/0 buffer size: 0 vbv_delay: -1
frame=   18 fps=0.0 q=0.0 size=       0kB time=00:00:00.00 bitrate=N/A dup=0 drop=15 speed=   0x    
frame=   33 fps= 32 q=0.0 size=       0kB time=00:00:00.00 bitrate=N/A dup=0 drop=30 speed=   0x    
frame=   51 fps= 30 q=29.0 size=       0kB time=-00:00:00.06 bitrate=N/A dup=4 drop=43 speed=N/A    
frame=   68 fps= 30 q=29.0 size=       0kB time=00:00:00.50 bitrate=   0.8kbits/s dup=19 drop=43 speed=0.224x    
frame=   86 fps= 30 q=29.0 size=       0kB time=00:00:01.10 bitrate=   0.3kbits/s dup=34 drop=43 speed=0.389x    
frame=  104 fps= 30 q=29.0 size=       0kB time=00:00:01.70 bitrate=   0.2kbits/s dup=50 drop=43 speed=0.496x    
frame=  121 fps= 31 q=29.0 size=       0kB time=00:00:02.26 bitrate=   0.2kbits/s dup=54 drop=48 speed=0.574x    
frame=  137 fps= 31 q=29.0 size=       0kB time=00:00:02.80 bitrate=   0.1kbits/s dup=54 drop=64 speed=0.627x    
frame=  152 fps= 31 q=29.0 size=       0kB time=00:00:03.30 bitrate=   0.1kbits/s dup=54 drop=79 speed=0.665x    
frame=  167 fps= 30 q=29.0 size=       0kB time=00:00:03.80 bitrate=   0.1kbits/s dup=54 drop=94 speed=0.693x    
frame=  183 fps= 31 q=29.0 size=       0kB time=00:00:04.33 bitrate=   0.1kbits/s dup=54 drop=110 speed=0.723x    
frame=  198 fps= 30 q=29.0 size=       0kB time=00:00:04.83 bitrate=   0.1kbits/s dup=62 drop=110 speed=0.743x    
frame=  213 fps= 30 q=29.0 size=       0kB time=00:00:05.33 bitrate=   0.1kbits/s dup=62 drop=125 speed=0.76x    
frame=  229 fps= 30 q=29.0 size=       0kB time=00:00:05.86 bitrate=   0.1kbits/s dup=62 drop=141 speed=0.779x    
frame=  244 fps= 30 q=29.0 size=       0kB time=00:00:06.36 bitrate=   0.1kbits/s dup=62 drop=156 speed=0.792x    
frame=  259 fps= 30 q=29.0 size=       0kB time=00:00:06.86 bitrate=   0.1kbits/s dup=62 drop=168 speed=0.803x    
frame=  274 fps= 30 q=29.0 size=       0kB time=00:00:07.36 bitrate=   0.1kbits/s dup=62 drop=177 speed=0.814x    
frame=  290 fps= 30 q=29.0 size=       0kB time=00:00:07.90 bitrate=   0.0kbits/s dup=62 drop=191 speed=0.826x    
frame=  305 fps= 30 q=29.0 size=       0kB time=00:00:08.40 bitrate=   0.0kbits/s dup=62 drop=204 speed=0.834x    
frame=  320 fps= 30 q=29.0 size=       0kB time=00:00:08.90 bitrate=   0.0kbits/s dup=62 drop=219 speed=0.841x    
frame=  335 fps= 30 q=29.0 size=       0kB time=00:00:09.40 bitrate=   0.0kbits/s dup=62 drop=234 speed=0.848x    
frame=  351 fps= 30 q=29.0 size=       0kB time=00:00:09.93 bitrate=   0.0kbits/s dup=62 drop=246 speed=0.856x    
frame=  366 fps= 30 q=29.0 size=       0kB time=00:00:10.43 bitrate=   0.0kbits/s dup=62 drop=261 speed=0.862x    
frame=  381 fps= 30 q=29.0 size=       0kB time=00:00:10.93 bitrate=   0.0kbits/s dup=62 drop=276 speed=0.867x    
frame=  396 fps= 30 q=29.0 size=       0kB time=00:00:11.43 bitrate=   0.0kbits/s dup=62 drop=291 speed=0.872x    
frame=  412 fps= 30 q=29.0 size=     256kB time=00:00:11.96 bitrate= 175.3kbits/s dup=62 drop=307 speed=0.878x    
frame=  427 fps= 30 q=29.0 size=     256kB time=00:00:12.46 bitrate= 168.3kbits/s dup=62 drop=322 speed=0.881x    
frame=  442 fps= 30 q=29.0 size=     256kB time=00:00:12.96 bitrate= 161.8kbits/s dup=62 drop=333 speed=0.885x    
frame=  458 fps= 30 q=29.0 size=     256kB time=00:00:13.50 bitrate= 155.4kbits/s dup=62 drop=347 speed=0.89x    
frame=  473 fps= 30 q=29.0 size=     256kB time=00:00:14.00 bitrate= 149.8kbits/s dup=62 drop=353 speed=0.893x    
frame=  488 fps= 30 q=29.0 size=     256kB time=00:00:14.50 bitrate= 144.7kbits/s dup=62 drop=363 speed=0.896x    
frame=  504 fps= 30 q=29.0 size=     256kB time=00:00:15.03 bitrate= 139.5kbits/s dup=62 drop=379 speed= 0.9x    
frame=  519 fps= 30 q=29.0 size=     256kB time=00:00:15.53 bitrate= 135.0kbits/s dup=70 drop=379 speed=0.902x    
frame=  535 fps= 30 q=29.0 size=     256kB time=00:00:16.06 bitrate= 130.6kbits/s dup=70 drop=393 speed=0.907x    
frame=  550 fps= 30 q=29.0 size=     256kB time=00:00:16.56 bitrate= 126.6kbits/s dup=70 drop=408 speed=0.909x    
frame=  565 fps= 30 q=29.0 size=     256kB time=00:00:17.06 bitrate= 122.9kbits/s dup=70 drop=419 speed=0.911x    
frame=  580 fps= 30 q=29.0 size=     256kB time=00:00:17.56 bitrate= 119.4kbits/s dup=70 drop=432 speed=0.913x    
frame=  596 fps= 30 q=29.0 size=     256kB time=00:00:18.10 bitrate= 115.9kbits/s dup=70 drop=448 speed=0.916x    
frame=  611 fps= 30 q=29.0 size=     256kB time=00:00:18.60 bitrate= 112.8kbits/s dup=70 drop=461 speed=0.918x    
frame=  626 fps= 30 q=29.0 size=     256kB time=00:00:19.10 bitrate= 109.8kbits/s dup=70 drop=472 speed=0.919x    
frame=  642 fps= 30 q=29.0 size=     256kB time=00:00:19.63 bitrate= 106.8kbits/s dup=70 drop=488 speed=0.922x    
frame=  657 fps= 30 q=29.0 size=     256kB time=00:00:20.13 bitrate= 104.2kbits/s dup=70 drop=503 speed=0.924x    
frame=  672 fps= 30 q=29.0 size=     256kB time=00:00:20.63 bitrate= 101.7kbits/s dup=70 drop=518 speed=0.925x    
frame=  687 fps= 30 q=29.0 size=     256kB time=00:00:21.13 bitrate=  99.3kbits/s dup=70 drop=531 speed=0.927x    
frame=  702 fps= 30 q=29.0 size=     256kB time=00:00:21.63 bitrate=  97.0kbits/s dup=70 drop=546 speed=0.928x    
frame=  718 fps= 30 q=29.0 size=     256kB time=00:00:22.16 bitrate=  94.6kbits/s dup=70 drop=562 speed=0.93x    
frame=  733 fps= 30 q=29.0 size=     256kB time=00:00:22.66 bitrate=  92.5kbits/s dup=70 drop=577 speed=0.931x    
frame=  748 fps= 30 q=29.0 size=     256kB time=00:00:23.16 bitrate=  90.5kbits/s dup=70 drop=592 speed=0.932x    
frame=  763 fps= 30 q=29.0 size=     256kB time=00:00:23.66 bitrate=  88.6kbits/s dup=70 drop=601 speed=0.934x    
frame=  779 fps= 30 q=29.0 size=     256kB time=00:00:24.20 bitrate=  86.7kbits/s dup=70 drop=617 speed=0.936x    
frame=  794 fps= 30 q=29.0 size=     256kB time=00:00:24.70 bitrate=  84.9kbits/s dup=70 drop=632 speed=0.937x    
frame=  809 fps= 30 q=29.0 size=     256kB time=00:00:25.20 bitrate=  83.2kbits/s dup=70 drop=644 speed=0.937x    
frame=  825 fps= 30 q=29.0 size=     256kB time=00:00:25.73 bitrate=  81.5kbits/s dup=70 drop=655 speed=0.939x    
frame=  840 fps= 30 q=29.0 size=     256kB time=00:00:26.23 bitrate=  80.0kbits/s dup=70 drop=670 speed=0.94x    
frame=  855 fps= 30 q=29.0 size=     256kB time=00:00:26.73 bitrate=  78.5kbits/s dup=70 drop=685 speed=0.941x    
frame=  871 fps= 30 q=29.0 size=     256kB time=00:00:27.26 bitrate=  76.9kbits/s dup=70 drop=701 speed=0.943x    
frame=  886 fps= 30 q=29.0 size=     256kB time=00:00:27.76 bitrate=  75.5kbits/s dup=70 drop=713 speed=0.943x    
frame=  901 fps= 30 q=29.0 size=     256kB time=00:00:28.26 bitrate=  74.2kbits/s dup=70 drop=728 speed=0.944x    
frame=  916 fps= 30 q=29.0 size=     256kB time=00:00:28.76 bitrate=  72.9kbits/s dup=70 drop=738 speed=0.945x    
frame=  932 fps= 30 q=29.0 size=     256kB time=00:00:29.30 bitrate=  71.6kbits/s dup=70 drop=754 speed=0.946x    
frame=  947 fps= 30 q=29.0 size=     256kB time=00:00:29.80 bitrate=  70.4kbits/s dup=70 drop=769 speed=0.947x    
frame=  962 fps= 30 q=29.0 size=     256kB time=00:00:30.30 bitrate=  69.2kbits/s dup=70 drop=784 speed=0.947x    
frame=  978 fps= 30 q=29.0 size=     256kB time=00:00:30.83 bitrate=  68.0kbits/s dup=70 drop=798 speed=0.949x    
frame=  993 fps= 30 q=29.0 size=     256kB time=00:00:31.33 bitrate=  66.9kbits/s dup=70 drop=812 speed=0.95x    
frame= 1008 fps= 30 q=29.0 size=     256kB time=00:00:31.83 bitrate=  65.9kbits/s dup=70 drop=824 speed=0.95x    
frame= 1024 fps= 30 q=29.0 size=     256kB time=00:00:32.36 bitrate=  64.8kbits/s dup=70 drop=839 speed=0.951x    
frame= 1039 fps= 30 q=29.0 size=     256kB time=00:00:32.86 bitrate=  63.8kbits/s dup=70 drop=851 speed=0.952x    
frame= 1054 fps= 30 q=29.0 size=     256kB time=00:00:33.36 bitrate=  62.9kbits/s dup=70 drop=865 speed=0.952x    
frame= 1069 fps= 30 q=29.0 size=     256kB time=00:00:33.86 bitrate=  61.9kbits/s dup=70 drop=877 speed=0.953x    
frame= 1085 fps= 30 q=29.0 size=     256kB time=00:00:34.40 bitrate=  61.0kbits/s dup=70 drop=893 speed=0.954x    
frame= 1098 fps= 30 q=29.0 size=     256kB time=00:00:34.83 bitrate=  60.2kbits/s dup=76 drop=897 speed=0.952x    
frame= 1119 fps= 30 q=29.0 size=     256kB time=00:00:35.53 bitrate=  59.0kbits/s dup=93 drop=897 speed=0.953x    
frame= 1137 fps= 30 q=29.0 size=     256kB time=00:00:36.13 bitrate=  58.0kbits/s dup=108 drop=897 speed=0.954x    
frame= 1152 fps= 30 q=29.0 size=     256kB time=00:00:36.63 bitrate=  57.3kbits/s dup=121 drop=897 speed=0.954x    
frame= 1172 fps= 30 q=29.0 size=     256kB time=00:00:37.30 bitrate=  56.2kbits/s dup=138 drop=897 speed=0.956x    
frame= 1188 fps= 30 q=29.0 size=     256kB time=00:00:37.83 bitrate=  55.4kbits/s dup=152 drop=897 speed=0.956x    
frame= 1211 fps= 30 q=29.0 size=     256kB time=00:00:38.60 bitrate=  54.3kbits/s dup=173 drop=897 speed=0.957x    
frame= 1245 fps= 30 q=29.0 size=     256kB time=00:00:39.73 bitrate=  52.8kbits/s dup=205 drop=897 speed=0.958x    
frame= 1266 fps= 30 q=29.0 size=     512kB time=00:00:40.43 bitrate= 103.7kbits/s dup=225 drop=897 speed=0.959x    
frame= 1288 fps= 30 q=29.0 size=     512kB time=00:00:41.16 bitrate= 101.9kbits/s dup=246 drop=897 speed=0.96x    
frame= 1309 fps= 30 q=29.0 size=     512kB time=00:00:41.86 bitrate= 100.2kbits/s dup=266 drop=897 speed=0.96x    
frame= 1330 fps= 30 q=29.0 size=     512kB time=00:00:42.56 bitrate=  98.5kbits/s dup=286 drop=897 speed=0.961x    
frame= 1354 fps= 30 q=29.0 size=     512kB time=00:00:43.36 bitrate=  96.7kbits/s dup=309 drop=897 speed=0.961x    
frame= 1380 fps= 30 q=29.0 size=     512kB time=00:00:44.23 bitrate=  94.8kbits/s dup=334 drop=897 speed=0.962x    
frame= 1414 fps= 30 q=29.0 size=     512kB time=00:00:45.36 bitrate=  92.5kbits/s dup=367 drop=897 speed=0.963x    
frame= 1458 fps= 30 q=29.0 size=     512kB time=00:00:46.83 bitrate=  89.6kbits/s dup=410 drop=897 speed=0.965x    
frame= 1522 fps= 30 q=29.0 size=     512kB time=00:00:48.96 bitrate=  85.7kbits/s dup=473 drop=897 speed=0.966x    
